Column,Name,Description,Logo,Link,Frontend_Language,Frontend_Framework,Backend_Language,Backend_Framework,Android,IOS,DesignTool
HomeService,오늘의집,설명,logo image link,https://www.wanted.co.kr/company/179,"Javascript,Typescript","React,jQuery",Ruby,Rails,Kotlin,Swift,Sketch
HomeService,miso,설명,logo image link,https://www.wanted.co.kr/company/459,Javascript,React,"Go,Python,Ruby,Javascript",Node.js,"Kotlin,React-Native","Objective-C","Adobe,InVision,Overflow,Sketch,Zeplin"
Education,Riiid!,설명,logo image link,https://www.wanted.co.kr/company/341,Javascript,,"C#,Kotlin",".net,Spring Boot",Kotlin,"Swift","Figma,Sketch,XD"
Education,ST Unitas,설명,logo image link,https://www.wanted.co.kr/company/717,Javascript,"React,Vue.js","Java,PHP,Python,Ruby","Rails,Spring",Kotlin,Swift,Adobe
